region,per_capita_cash_income_2020,real_incomes_2020,formal_wage_paid_2020,real_pay_2020,mortality_2020,newborn_2020,alc_2020,nar_2020,anomalies_2020,soc_ex_2020,child_need_under_16_2020,people_need_over_working_age_2020,people_need_working_age_2020,abort_2020,ret_turn_per_capita_2020_(rub),housting_2020,suicid_2020,HIV_2020,grp_2020,pop_2020,p_clinic_2020,hosp_2020,1_group_invalid_2020,2_group_invalid_2020,3_group_invalid_2020,child_invalid_2020,poverty_2020,unemployed_2020,death_cancer_2020,divorce_2020,death_cir_syst_2020,death_tub_2020,orphans_2020,syphilis_2020,gonor_2020,active_tub_2020,commit_minors_2020,recidivist_2020,crime_under_alcohol_2020,crime_under_narc_2020,reg_prod_2020
Алтайский край,23864.0,95.5,30072.0,103.8,97.0,19840.0,1357,229,341.0,29.7,31.4,9.2,59.4,8488.0,153605.0,25.31,22.3,1892,291156.89,2306753.0,208,125,25483,68406,79979,10789,17.5,5.9,229.7,10030.99,707.3,12.4,647,165,66,1314,887,15400,9396,46,852443350.24
Амурская область,35499.0,100.3,52430.0,105.2,42.0,7800.0,530,128,53.0,21.7,38.4,4.7,56.9,4276.0,245232.99,26.04,29.0,143,571362.1,785944.0,164,39,13230,30151,21303,4248,15.2,6.0,232.2,3706.0,641.79,12.0,567,139,138,374,431,6001,3123,108,404576467.0
Архангельская область без округов,34852.0,98.4,52779.0,102.9,29.0,8886.0,665,64,449.0,21.4,28.5,7.2,64.3,5463.0,250032.99,28.86,26.0,228,514200.39,1087542.0,237,58,12847,30784,41714,4606,12.3,7.3,241.2,4384.0,793.09,1.8,1034,243,76,163,551,6569,4011,31,1854125303.78
Астраханская область,25199.0,97.1,38885.0,104.5,64.0,10956.0,75,1,212.0,31.4,42.1,5.5,52.4,3520.0,174526.99,25.03,2.6,167,526950.9,1001780.0,169,34,7502,17234,18808,4069,15.6,7.9,189.2,4095.0,641.49,11.2,579,93,107,602,343,5395,2534,70,724597755.8
Белгородская область,32841.0,98.1,37442.0,104.8,47.0,12294.0,612,48,498.0,16.1,39.01643835616437,5.045205479452054,55.945205479452056,3100.0,237076.0,32.93,9.4,224,646569.0,1545205.0,160,42,15183,106995,77988,5522,7.2,4.9,179.9,6345.0,669.6,0.4,413,23,18,183,219,4599,2251,49,1948293818.62
Брянская область,28596.0,96.3,31946.0,102.9,41.0,9511.0,646,94,360.0,23.1,44.8,3.7,51.6,4844.0,225642.99,31.07,15.5,262,347204.49,1187587.0,205,49,12050,42110,52088,4267,13.6,4.0,265.1,5173.0,725.7,3.3,179,115,16,333,197,5177,3094,18,566924480.2
Владимирская область,25922.0,98.0,35240.0,103.0,61.0,10071.99,822,85,136.0,26.0,39.01643835616437,5.045205479452054,55.945205479452056,4638.0,177679.99,30.8,13.7,392,410443.59,1350256.0,302,58,16675,50887,55763,5101,12.5,5.6,247.1,4771.0,931.7,2.2,246,122,47,321,378,5546,3078,21,1162651995.94
Волгоградская область,24864.0,98.7,35962.0,104.2,97.0,19652.0,2088,202,480.99,25.1,46.2,4.0,49.8,7771.99,167445.99,25.3,4.09,780,394256.49,2482796.0,409,85,19990,75991,76986,8564,11.9,7.6,208.4,9087.0,857.2,6.4,110,149,96,1038,873,10806,6228,101,1808536910.22
Вологодская область,29522.0,99.6,42775.0,105.4,59.0,10748.99,441,72,89.0,25.9,43.1,2.3,54.6,6232.0,182919.99,31.6,13.1,300,544379.19,1155744.0,217,51,10540,42681,41269,4931,12.8,6.1,224.0,4252.99,808.9,1.6,449,41,127,141,510,6375,3584,71,1554870357.5
Воронежская область,32078.0,95.4,36317.0,103.2,70.0,19073.0,1601,324,35.0,21.6,28.5,2.3,69.2,5284.0,252415.99,31.68,12.2,518,459629.49,2314906.0,415,76,24378,93892,98170,7604,8.5,4.3,179.8,9492.0,677.6,1.6,54,220,57,346,481,7526,4006,180,1436533490.8
