region,per capita cash income 2015,per capita cash income 2016,per capita cash income 2017,per capita cash income 2018,per capita cash income 2019,per capita cash income 2020,real incomes 2015,real incomes 2016,real incomes 2017,real incomes 2018,real incomes 2019,real incomes 2020,formal wage paid 2015,formal wage paid 2016,formal wage paid 2017,formal wage paid 2018,formal wage paid 2019,formal wage paid 2020,real pay 2015,real pay 2016,real pay 2017,real pay 2018,real pay 2019,real pay 2020,mortality 2016,mortality 2017,mortality 2018,mortality 2019,mortality 2020,mortality 2021,mortality 2022,newborn 2016,newborn 2017,newborn 2018,newborn 2019,newborn 2020,newborn 2021,newborn 2022,alc 2018,alc 2019,alc 2020,alc 2021,nar 2018,nar 2019,nar 2020,nar 2021,anomalies 2017,anomalies 2018,anomalies 2019,anomalies 2020,anomalies 2021,anomalies 2022,soc ex 2017,soc_ex 2018,soc_ex 2019,soc_ex 2020,soc_ex 2021,soc_ex 2022,child need under 16 2017,people need over working age 2017,people need working age 2017,child need under 16 2018,people need over working age 2018,people need working age 2018,child need under 16 2019,people need over working age 2019,people need working age 2019,child need under 16 2020,people need over working age 2020,people need working age 2020,child need under 16 2021,people need over working age 2021,people need working age 2021,abort 2018,abort 2019,abort 2020,abort 2021,abort 2022,ret_turn_per_capita 2016 (rub),ret_turn_per_capita 2017 (rub),ret_turn_per_capita 2018 (rub),ret_turn_per_capita 2019 (rub),ret_turn_per_capita 2020 (rub),ret_turn_per_capita 2021 (rub),ret_turn_per_capita 2022 (rub),housting 2015,housting 2016,housting 2017,housting 2018,housting 2019,housting 2020,suicid 2018,suicid 2019,suicid 2020,suicid 2021,suicid 2022,HIV 2018,HIV 2019,HIV 2020,HIV 2021,HIV 2022,grp 2014,grp 2015,grp 2016,grp 2017,grp 2018,grp 2019,grp 2020,pop 2014,pop 2015,pop 2016,pop 2017,pop 2018,pop 2019,pop 2020,pop 2021,pop 2022,p_clinic 2014,p_clinic 2015,p_clinic 2016,p_clinic 2017,p_clinic 2018,p_clinic 2019,p_clinic 2020,p_clinic 2021,hosp 2014,hosp 2015,hosp 2016,hosp 2017,hosp 2018,hosp 2019,hosp 2020,hosp 2021,1 group invalid 2018,2 group invalid 2018,3 group invalid 2018,child invalid 2018,1 group invalid 2019,2 group invalid 2019,3 group invalid 2019,child invalid 2019,1 group invalid 2020,2 group invalid 2020,3 group invalid 2020,child invalid 2020,1 group invalid 2021,2 group invalid 2021,3 group invalid 2021,child invalid 2022,1 group invalid 2022,2 group invalid 2022,3 group invalid 2022,child invalid 2022,1 group invalid 2023,2 group invalid 2023,3 group invalid 2023,child invalid 2023,poverty 2014,poverty 2015,poverty 2016,poverty 2017,poverty 2018,poverty 2019,poverty 2020,poverty 2021,poverty 2022,unemployed 2017,unemployed 2018,unemployed 2019,unemployed 2020,unemployed 2021,unemployed 2022,death cancer 2016,death cancer 2017,death cancer 2018,death cancer 2019,death cancer 2020,death cancer 2021,death cancer 2022,divorce 2014,divorce 2015,divorce 2016,divorce 2017,divorce 2018,divorce 2019,divorce 2020,divorce 2021,divorce 2022,death cir_syst 2014,death cir_syst 2015,death cir_syst 2016,death cir_syst 2017,death cir_syst 2018,death cir_syst 2019,death cir_syst 2020,death cir_syst 2021,death cir_syst 2022,death tub 2014,death tub 2015,death tub 2016,death tub 2017,death tub 2018,death tub 2019,death tub 2020,death tub 2021,death tub 2022,orphans 2016,orphans 2017,orphans 2018,orphans 2019,orphans 2020,orphans 2021,orphans 2022,syphilis 2018,syphilis 2019,syphilis 2020,syphilis 2021,syphilis 2022,gonor 2018,gonor 2019,gonor 2020,gonor 2021,active tub 2018,active tub 2019,active tub 2020,active tub 2021,commit minors 2016,recidivist 2016,crime under alcohol 2016,crime under narc 2016,commit minors 2017,recidivist 2017,crime under alcohol 2017,crime under narc 2017,commit minors 2018,recidivist 2018,crime under alcohol 2018,crime under narc 2018,commit minors 2019,recidivist 2019,crime under alcohol 2019,crime under narc 2019,commit minors 2020,recidivist 2020,crime under alcohol 2020,crime under narc 2020,commit minors 2021,recidivist 2021,crime under alcohol 2021,crime under narc 2021,reg_prod 2017,reg_prod 2018,reg_prod 2019,reg_prod 2020
Алтайский край,20860.0,21256.0,22139.0,22829.0,23937.0,23864.0,99.1,94.7,100.0,99.7,99.6,95.5,20090.0,21202.0,22743.0,25519.0,27962.0,30072.0,90,98.4,103.6,109.3,104.9,103.8,211.0,185.0,176.0,114.0,97.0,88.0,71.0,28733.99,25555.99,23408.0,21084.99,19840.0,18998.0,17580.0,2071,1710,1357,2397,408,332,229,333,53.0,57.0,343.0,341.0,1334.0,503.0,18.8,20.4,30.9,29.8,28.3,29.7,38.0,6.4,55.6,42.1,5.1,52.8,38.7,3.9,57.4,31.4,9.2,59.4,39.2,6.4,54.4,10595.99,10289.0,8488.0,7563.0,8003.0,137843.99,143872.99,150444.0,159514.0,153605.0,174320.99,218972.99,23.1,23.5,23.8,24.3,24.75,25.31,25.1,25.2,22.3,23.0,20.5,1992,1739,1892,1768,1665,186798.6,204933.09,224525.79,231268.4,247599.3,270172.3,291156.89,2387725.0,2380793.0,2371227.0,2357880.0,2341447.0,2324983.0,2306753.0,2282266.0,2142941.0,215,229,215,204,200,201,208,201,131,132,134,129,129,129,125,124,27256,73701,78010,10268,26314,70451,78428,10568,25483,68406,79979,10789,24020,64739,79510,11111,23154,61822,78290,11111,22848,59537,76653,11192,17.1,18.0,17.8,17.5,17.4,17.6,17.5,16.5,15.4,6.9,6.1,5.8,5.9,5.5,3.7,218.2,228.0,223.1,221.4,221.5,230.0,229.7,13243.0,10662.0,10369.0,10744.99,10039.99,10200.99,10030.99,10434.99,10790.99,632.3,577.19,587.0,559.8,568.79,599.7,707.3,745.2,667.6,22.9,22.4,22.1,17.89,16.6,16.7,12.4,13.7,10.0,711,718,682,689.0,647,715,703,368,327,165,245,286,241,129,66,88,2053,1811,1314,1170,1310,19308,13875,241,1134,17755,11976,345,1081,17117,10864,99,961,16553,9873,53,887,15400,9396,46,770,14999,8468,56,735976391.5999999,771192744.36,838317949.5,852443350.24
Амурская область,28240.0,27976.0,29213.0,30937.0,33304.0,35499.0,96.1,92.1,101.1,102.4,101.7,100.3,32902.0,33837.0,37368.0,42315.0,47234.0,52430.0,88,96.0,107.4,110.1,106.0,105.2,53.0,48.0,46.0,43.0,42.0,36.0,31.0,10349.99,9459.0,8812.0,7940.99,7800.0,7372.99,6942.0,905,684,530,574,195,194,128,141,59.0,52.0,99.0,53.0,94.0,113.0,19.2,28.9,26.3,24.1,22.7,21.7,39.9,6.0,54.1,40.6,4.6,54.8,33.9,7.2,58.9,38.4,4.7,56.9,39.7,6.5,53.8,5150.0,4961.0,4276.0,3879.0,3995.0,191522.99,202038.0,214687.99,231113.0,245232.99,276635.0,323247.0,24.3,24.6,24.9,25.3,25.63,26.04,33.0,30.2,29.0,27.5,28.7,120,167,143,160,214,286282.59,343385.69,370192.39,373935.09,419905.19,499757.09,571362.1,810572.0,807781.0,803720.0,800088.0,795809.0,791619.0,785944.0,777184.0,759883.0,178,169,179,173,165,167,164,187,42,42,38,38,40,41,39,42,14566,31853,20795,4085,13929,30770,20980,4160,13230,30151,21303,4248,12450,28896,21275,4246,11463,27441,20957,4246,10921,25610,20493,4102,14.8,15.2,17.0,16.7,15.6,15.7,15.2,14.2,13.3,5.9,5.6,5.4,6.0,5.2,4.2,182.7,202.8,203.1,197.5,204.6,229.9,232.2,4913.0,4150.99,4088.0,3978.0,4097.0,4179.0,3706.0,4335.0,4763.0,599.8,522.2,496.19,426.6,460.0,572.3,641.79,655.8,608.9,18.0,17.0,14.4,12.0,12.9,13.9,12.0,15.8,13.0,651,737,703,689.0,567,527,482,195,213,139,124,168,241,180,138,176,464,445,374,367,782,7341,4518,80,709,7225,4071,123,552,6933,3925,122,506,6240,3279,135,431,6001,3123,108,311,5887,2999,90,268844147.6,268760836.2,340026685.79999995,404576467.0
Архангельская область без округов,29716.0,29837.0,30707.0,32054.0,33874.0,34852.0,95.1,93.0,98.7,101.7,100.2,98.4,35592.0,38118.0,40352.0,45427.0,49435.0,52779.0,92.4,100.0,102.5,110.7,104.0,102.9,79.0,72.0,53.0,58.0,29.0,32.0,35.0,13276.0,11722.0,10630.0,9642.0,8886.0,8480.99,7681.0,887,946,665,1304,115,101,64,65,108.0,82.0,102.0,449.0,440.0,388.0,15.4,16.3,24.8,24.2,22.4,21.4,37.4,7.1,55.5,38.8,6.6,54.6,31.3,8.9,59.8,28.5,7.2,64.3,39.6,4.0,56.5,6275.0,6102.0,5463.0,4934.99,4397.0,202977.0,217332.0,229922.0,240154.99,250032.99,280049.99,336183.0,26.6,27.0,27.5,28.0,28.39,28.86,27.0,25.8,26.0,25.0,19.0,357,395,228,237,153,310817.39,352837.9,400764.6,441961.59,493205.1,509847.9,514200.39,1144355.0,1135095.0,1126026.0,1116422.0,1105661.0,1096357.0,1087542.0,1076222.0,969453.0,222,208,208,225,247,243,237,236,65,61,63,63,59,58,58,47,12638,33112,41706,4446,12627,31761,41541,4492,12847,30784,41714,4606,12403,29608,41450,4829,11785,27906,40458,4829,11401,26276,39025,4768,14.5,16.2,14.9,13.9,12.5,12.7,12.3,11.7,10.9,6.4,6.3,6.2,7.3,6.6,5.5,226.9,230.7,239.4,242.49,238.7,239.69,241.2,6013.0,4947.0,4820.0,4840.0,4798.0,4695.0,4384.0,4976.0,4966.0,760.3,776.3,785.2,742.9,763.6,756.1,793.09,803.7,728.9,4.5,4.7,5.2,2.4,2.1,1.6,1.8,0.9,0.9,1238,1241,1200,1074.0,1034,1024,942,282,304,243,284,255,132,82,76,58,230,220,163,166,756,6847,5513,39,668,6450,4824,20,591,6460,4464,29,601,6962,4144,26,551,6569,4011,31,439,5989,3304,32,2005225068.2,1954097661.8,1798198942.8,1854125303.78
Астраханская область,23832.0,22841.0,22884.0,23670.0,24971.0,25199.0,94.0,90.1,97.1,100.6,100.7,97.1,25499.0,27493.0,29599.0,33630.0,36093.0,38885.0,89.9,101.4,104.5,110.7,103.0,104.5,82.0,74.0,71.0,72.0,64.0,46.0,55.0,14238.99,12269.99,11781.0,10981.0,10956.0,10683.0,9662.0,226,206,75,91,2,1,1,0,261.0,255.0,201.0,212.0,229.0,246.0,18.8,20.5,27.7,26.4,25.8,31.4,40.2,4.2,55.5,35.0,5.2,59.8,43.4,4.7,51.9,42.1,5.5,52.4,41.5,5.5,53.0,4099.0,3862.0,3520.0,3457.0,2650.0,164240.99,163829.0,170709.99,179152.99,174526.99,196095.99,218547.0,22.8,23.4,23.7,24.1,24.48,25.03,1.1,1.1,2.6,1.7,1.7,234,199,167,163,227,290822.2,315996.89,361704.8,434701.49,570206.39,595897.5,526950.9,1018902.0,1019956.0,1018746.0,1018190.0,1015790.0,1009924.0,1001780.0,993603.0,954164.0,171,154,156,153,154,159,169,160,39,37,37,35,34,34,34,33,7680,18092,18424,4069,7397,17430,18529,4034,7502,17234,18808,4069,7318,16850,18802,4413,7018,16743,18499,4413,6900,15836,17588,4372,12.0,14.2,16.1,15.5,15.1,15.5,15.6,15.5,13.8,7.4,7.5,7.6,7.9,7.7,7.0,193.8,194.0,190.8,185.6,188.0,192.0,189.2,5172.0,4378.0,4250.99,4175.0,4120.0,4082.99,4095.0,5013.0,5483.0,631.9,574.5,546.9,539.2,570.0,549.19,641.49,686.59,611.9,22.6,19.3,14.0,13.4,11.2,12.8,11.2,8.9,5.9,617,649,589,682.0,579,536,556,123,129,93,88,125,132,124,107,62,733,790,602,547,378,5438,2943,294,320,4865,2522,218,384,5458,2674,114,279,5412,2592,54,343,5395,2534,70,333,5434,2325,101,626569738.38,883766538.0,901514684.4,724597755.8
Белгородская область,28043.0,29799.0,30342.0,30778.0,32352.0,32841.0,99.3,100.8,99.1,98.7,100.6,98.1,25456.0,27091.0,29066.0,31852.0,34615.0,37442.0,93.2,100.8,104.5,106.8,104.0,104.8,108.0,77.0,73.0,39.0,47.0,54.0,46.0,17247.0,15092.99,14316.99,13183.0,12294.0,12245.0,10816.99,640,609,612,656,50,47,48,62,62.0,571.0,408.0,498.0,1147.0,840.0,11.3,11.8,16.4,15.6,13.8,16.1,43.4,11.8,44.8,44.8,12.9,42.3,0.0,0.0,0.0,,,,43.1,13.0,43.9,4010.0,3843.0,3100.0,2759.0,2677.0,192503.99,203298.0,217059.0,230703.99,237076.0,259150.99,285966.99,29.1,29.9,30.6,31.4,32.1,32.93,12.1,11.0,9.4,10.0,9.5,354,301,224,186,242,400820.8,447619.7,501467.79,539720.49,588641.49,617024.6,646569.0,1546022.0,1549037.0,1551500.0,1551370.0,1548647.0,1548284.0,1545205.0,1536588.0,1525496.0,157,157,160,183,163,161,160,179,53,52,50,50,43,42,42,46,15771,120650,78752,5103,15239,113322,78063,5209,15183,106995,77988,5522,14652,99985,77917,5913,13827,92185,76982,5913,13635,85903,74970,6063,7.7,8.5,8.1,7.8,7.5,7.8,7.2,7.0,6.1,3.9,3.9,3.9,4.9,4.2,3.7,189.5,193.2,198.5,196.5,196.7,184.1,179.9,7654.0,6774.0,6787.0,6782.0,6753.0,6518.99,6345.0,6666.99,6582.0,757.09,771.0,758.3,716.3,734.8,664.7,669.6,733.6,775.2,1.7,1.2,0.6,1.0,0.5,0.6,0.4,0.5,0.6,151,462,516,503.0,413,436,460,64,28,23,37,50,42,23,18,32,265,220,183,175,272,4336,2689,27,218,4253,2411,48,220,4383,2331,44,246,4442,2279,55,219,4599,2251,49,231,4605,2049,87,1566651476.0,1790868258.62,1878072735.1399999,1948293818.62
Брянская область,23428.0,24006.0,25107.0,26585.0,28371.0,28596.0,97.0,95.0,99.4,102.1,100.5,96.3,21679.0,22923.0,24743.0,27251.0,29853.0,31946.0,89,98.5,103.2,107.0,104.0,102.9,103.0,96.0,45.0,37.0,41.0,27.0,45.0,13363.99,11547.99,11128.99,9956.0,9511.0,9015.99,8274.0,996,849,646,626,74,87,94,132,307.0,213.0,315.0,360.0,114.0,220.0,22.0,26.6,24.7,23.7,20.7,23.1,42.9,4.9,52.2,40.3,1.8,57.9,37.5,5.1,57.4,44.8,3.7,51.6,43.0,4.4,52.6,6571.0,5829.99,4844.0,4462.0,4462.0,179766.99,192774.99,209987.0,225817.99,225642.99,257678.99,285945.99,28.1,28.7,29.4,30.0,30.45,31.07,11.9,11.3,15.5,14.1,11.3,392,291,262,241,237,196096.69,221079.99,258752.7,280630.09,304547.09,333612.59,347204.49,1237769.0,1229340.0,1223135.0,1215756.0,1205584.0,1196339.0,1187587.0,1175726.0,1158570.0,185,199,200,203,199,206,205,201,56,55,55,51,51,50,49,53,12112,45952,51340,4023,11988,43784,51580,4097,12050,42110,52088,4267,11556,39954,52606,4590,10641,37778,52139,4590,10351,35304,50063,4550,13.2,14.1,14.4,14.2,13.6,13.8,13.6,13.0,12.0,4.4,3.9,3.8,4.0,3.4,3.2,224.7,239.2,241.5,242.2,251.6,246.89,265.1,7121.0,5882.99,5803.99,5529.0,5401.0,5406.0,5173.0,5255.0,5449.0,788.1,829.2,747.2,751.2,743.0,703.4,725.7,727.0,702.7,11.1,9.8,7.3,5.6,6.2,4.3,3.3,3.7,2.8,306,259,224,194.0,179,158,197,124,132,115,97,178,22,30,16,29,471,444,333,279,326,5275,3925,113,308,4860,3306,41,244,4657,2978,25,250,4672,2962,13,197,5177,3094,18,189,5652,2847,17,429415243.0,490874009.4,561934168.4,566924480.2
Владимирская область,22712.0,22365.0,23554.0,23539.0,25358.0,25922.0,99.5,92.2,100.9,96.4,101.9,98.0,23877.0,25135.0,26975.0,30460.0,33076.0,35240.0,91,99.2,103.6,109.9,103.5,103.0,100.0,76.0,67.0,58.0,61.0,66.0,37.0,15653.99,13355.99,12692.99,11101.0,10071.99,9765.0,8787.0,963,953,822,1646,107,100,85,102,24.0,94.0,246.0,136.0,84.0,556.0,18.1,18.0,24.0,23.4,23.4,26.0,34.8,8.6,56.6,48.9,8.3,42.8,34.8,4.8,60.4,,,,36.2,5.5,58.3,6308.0,5963.0,4638.0,4752.0,3966.0,143643.0,153087.99,164519.0,175251.0,177679.99,207670.0,229148.99,27.2,27.8,28.5,29.5,30.0,30.8,14.4,14.3,13.7,14.9,13.0,594,652,392,458,419,232757.6,262945.5,309713.7,325043.09,349856.4,393135.19,410443.59,1409467.0,1401390.0,1393383.0,1383968.0,1372071.0,1362110.0,1350256.0,1332879.0,1333872.0,256,266,280,281,273,287,302,306,71,62,62,58,58,58,58,62,17468,56455,55429,4815,16850,53436,55435,4972,16675,50887,55763,5101,16279,47454,55478,5431,15450,44431,54475,5431,15158,41209,52190,5302,14.2,14.7,14.6,13.2,13.1,12.6,12.5,11.8,10.4,4.8,4.7,4.0,5.6,3.9,2.6,269.29,238.6,249.9,239.9,256.89,252.89,247.1,6795.0,5861.0,5592.0,5798.0,5508.0,5503.0,4771.0,5718.99,5844.0,817.9,798.7,826.59,812.3,822.1,795.0,931.7,1020.6,816.4,5.9,5.2,4.3,3.5,2.8,2.29,2.2,2.0,3.0,300,295,281,255.0,246,238,241,126,125,122,194,265,72,48,47,25,494,457,321,332,657,6366,4833,61,511,6406,4154,100,414,6401,3860,54,383,5368,3139,26,378,5546,3078,21,334,5106,2672,22,907564711.58,1001970523.2,1093307035.1399999,1162651995.94
Волгоградская область,22103.0,21419.0,22037.0,22813.0,24158.0,24864.0,97.6,90.2,98.8,100.1,101.0,98.7,24361.0,26554.0,27962.0,30894.0,33371.0,35962.0,91.8,101.9,101.6,107.4,103.6,104.2,165.0,108.0,122.0,87.0,97.0,110.0,79.0,28435.99,25162.0,23563.0,20974.0,19652.0,19535.0,17547.0,1403,2781,2088,2248,194,210,202,182,310.0,271.0,321.0,480.99,135.0,616.0,18.0,26.7,24.7,24.2,24.0,25.1,34.6,6.3,59.1,41.6,9.9,48.4,35.3,4.7,59.9,46.2,4.0,49.8,37.1,5.1,57.9,9283.0,8492.99,7771.99,6872.0,7828.0,136055.0,145185.99,154934.0,166998.0,167445.99,194190.99,217093.99,23.3,23.7,24.0,24.4,25.01,25.3,4.7,4.0,4.09,4.59,3.7,1239,1107,780,1003,750,279101.39,290186.0,324961.09,336306.7,369000.4,385397.99,394256.49,2563261.0,2551667.0,2540570.0,2528239.0,2514392.0,2499272.0,2482796.0,2462168.0,2481432.0,449,416,411,411,386,394,409,434,108,98,90,90,89,88,85,82,20375,81786,75822,8172,19904,78208,76040,8268,19990,75991,76986,8564,19005,72131,76709,8827,17952,68006,74747,8827,17286,63043,70389,8703,13.6,14.2,14.4,13.6,13.4,12.9,11.9,11.3,9.6,6.0,5.6,5.3,7.6,4.9,3.5,218.2,237.1,232.7,224.3,218.3,218.1,208.4,12030.99,10567.0,10441.99,10488.99,9889.0,10137.0,9087.0,10505.0,10883.99,745.6,734.59,703.3,673.4,691.9,701.2,857.2,864.4,711.5,13.1,12.1,11.1,8.8,8.3,7.7,6.4,7.2,5.6,130,117,88,77.0,110,99,95,254,201,149,150,140,169,135,96,138,1459,1451,1038,1005,939,11268,7464,84,800,10803,6393,84,653,9884,5844,116,856,10048,5962,101,873,10806,6228,101,592,10499,5683,84,1707556764.2,2069494949.6,2115819527.94,1808536910.22
Вологодская область,24991.0,26602.0,25920.0,26982.0,28334.0,29522.0,99.3,99.2,94.2,100.6,100.4,99.6,27445.0,29303.0,31651.0,35497.0,39116.0,42775.0,89,99.8,104.9,109.1,106.0,105.4,104.0,87.0,65.0,66.0,59.0,55.0,34.0,15725.0,13491.99,12311.99,11171.99,10748.99,10378.0,9287.0,590,615,441,657,72,82,72,80,35.0,63.0,73.0,89.0,105.0,372.0,20.3,21.4,28.9,26.6,24.1,25.9,38.2,9.8,51.9,37.8,6.9,55.3,38.2,3.3,58.5,43.1,2.3,54.6,37.3,6.3,56.4,7707.99,6878.0,6232.0,5484.0,4913.0,136224.0,145710.99,159085.0,170173.99,182919.99,208031.0,225245.0,28.5,29.1,29.6,30.2,31.06,31.6,16.89,11.3,13.1,11.4,6.4,459,355,300,307,311,324790.3,402652.1,430041.5,459777.5,525206.6,543570.9,544379.19,1192190.0,1189347.0,1185773.0,1180274.0,1172201.0,1164079.0,1155744.0,1145271.0,1133603.0,207,222,218,215,216,211,217,214,54,56,55,55,52,51,51,53,11428,48567,41647,4653,10894,45200,41325,4707,10540,42681,41269,4931,10174,39977,40983,5380,9855,37249,40324,5380,9739,35107,38657,5314,13.5,14.5,13.8,13.9,13.5,12.9,12.8,12.4,11.0,5.3,5.1,4.5,6.1,4.7,3.4,221.2,212.7,213.3,213.4,217.5,231.0,224.0,5610.0,4380.0,4640.0,4700.0,4529.99,4657.0,4252.99,4966.0,5109.0,828.4,822.59,818.8,763.8,740.2,708.7,808.9,860.9,773.9,5.7,4.8,4.09,2.8,2.4,1.6,1.6,1.1,1.1,627,547,517,479.0,449,460,481,102,95,41,55,59,167,148,127,93,185,174,141,120,997,9488,7293,223,595,8005,5540,209,570,7350,4624,137,654,6818,4125,116,510,6375,3584,71,369,6279,3208,84,1242789715.1999998,1482083829.06,1514574515.96,1554870357.5
Воронежская область,29366.0,29284.0,29498.0,30289.0,32022.0,32078.0,101.1,93.6,97.4,100.0,101.1,95.4,24906.0,26335.0,28007.0,31207.0,33690.0,36317.0,89.1,99.1,102.8,108.7,103.4,103.2,120.0,108.0,99.0,81.0,70.0,83.0,63.0,24935.99,22370.0,21469.99,19576.0,19073.0,18579.99,17215.0,1952,1997,1601,1357,538,516,324,252,618.0,61.0,63.0,35.0,292.0,1235.0,15.2,15.4,22.8,20.9,19.0,21.6,38.6,5.9,55.6,32.6,8.0,59.4,45.2,5.4,49.4,28.5,2.3,69.2,36.2,7.6,56.1,7944.0,6820.0,5284.0,4783.0,4727.0,208638.0,221301.99,236953.0,251881.99,252415.99,296664.99,316122.99,28.3,28.8,29.4,30.1,30.8,31.68,13.7,11.1,12.2,10.7,8.6,823,768,518,455,582,308004.7,345566.79,354657.9,374125.69,408140.7,430689.9,459629.49,2330053.0,2332312.0,2334443.0,2334588.0,2330795.0,2326013.0,2314906.0,2296643.0,2293949.0,420,389,395,394,409,407,415,409,77,76,78,77,78,77,76,78,25264,99616,93277,6593,24871,96018,95335,7074,24378,93892,98170,7604,23425,90232,98881,8259,22134,85501,98913,8259,21879,81492,98147,8461,9.2,9.5,9.4,9.0,8.9,8.9,8.5,7.9,7.2,4.3,3.7,3.6,4.3,3.8,3.5,197.1,187.5,185.4,181.6,183.8,179.4,179.8,11204.0,9666.0,9617.0,9546.0,9652.0,10137.99,9492.0,9571.99,10036.0,744.2,658.1,601.79,592.1,617.29,601.4,677.6,702.2,614.79,5.2,4.2,3.6,3.1,2.1,2.1,1.6,1.5,1.5,278,256,70,56.0,54,61,87,291,309,220,319,404,54,43,57,44,568,515,346,338,651,8093,5348,603,622,8420,5051,467,568,8105,4554,107,589,7783,4125,133,481,7526,4006,180,414,8300,3774,136,1059099551.4,1138160311.46,1281962290.2,1436533490.8
